pid,eid,tag,probe_name,subject,date,session_number,lab,n_good_units,n_trials,n_included_trials,n_channels,overlaps_bwm_ephys,has_local_spike_shard,source_endpoint,alyx_resource,query,source_created_at_utc,source_artifact,bwm_ephys_dataset_version,bwm_ephys_source_freeze,bwm_ephys_good_unit_rule
e31b4e39-e350-47a9-aca4-72496d99ff2a,746d1902-fa59-4cab-b0aa-013be36060d5,RepeatedSite,probe00,ZFM-01592,2020-10-20,1.0,mainenlab,288.0,660.0,481.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
ef3d059a-59d5-4870-b355-563a8d7cfd2d,7502ae93-7437-4bcd-9e14-d73b51193656,RepeatedSite,probe01,,,,,,,,,False,False,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
6e1379e8-3af0-4fc5-8ba8-37d3bb02226b,754b74d5-7a06-4004-ae0c-72a10b6ed2e6,RepeatedSite,probe00,,,,,,,,,False,False,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
41a3b948-13f4-4be7-90b9-150705d39005,7691eeb3-715b-4571-8fda-6bb57aab8253,RepeatedSite,probe00,,,,,,,,,False,False,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
70da415f-444d-4148-ade7-a1f58a16fcf8,781b35fd-e1f0-4d14-b2bb-95b7263082bb,RepeatedSite,probe01,KS044,2020-12-09,1.0,cortexlab,111.0,471.0,323.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
f93bfce4-e814-4ae3-9cdf-59f4dcdedf51,7af49c00-63dd-4fed-b2e0-1b3bd945b20b,RepeatedSite,probe00,NYU-37,2021-01-25,1.0,angelakilab,149.0,414.0,321.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
f8d0ecdc-b7bd-44cc-b887-3d544e24e561,7b26ce84-07f9-43d1-957f-bc72aeb730a3,RepeatedSite,probe00,,,,,,,,,False,False,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
4b93a168-0f3b-4124-88fa-a57046ca70e1,7cb81727-2097-4b52-b480-c89867b5b34c,RepeatedSite,probe01,SWC_052,2020-10-22,1.0,mrsicflogellab,45.0,658.0,319.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
9657af01-50bd-4120-8303-416ad9e24a51,7f6b86f9-879a-4ea2-8531-294a221af5d0,RepeatedSite,probe00,CSH_ZAD_019,2020-08-14,1.0,zadorlab,76.0,1013.0,655.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
c07d13ed-e387-4457-8e33-1d16aed3fd92,824cf03d-4012-4ab1-b499-c83a92c5589e,RepeatedSite,probe00,UCLA011,2021-07-20,1.0,churchlandlab_ucla,62.0,764.0,573.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
19baa84c-22a5-4589-9cbd-c23f111c054c,862ade13-53cd-4221-a3fa-dda8643641f2,RepeatedSite,probe01,,,,,,,,,False,False,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
